Date,Account,Instrument,Side,Quantity,Entry Time,Exit Time,Entry Price,Exit Price,Net P&L,Commission,P&L (points),P&L (ticks),MAE,MFE,Entry Efficiency,Exit Efficiency,Total Efficiency,Time In Market,Strategy Tag,Source,Edited
2026-07-21,DEMO7298826,MCL 09-26,long,2,2026-07-21 14:35:03,2026-07-21 16:50:06,84.4,84.46,12.0,0,0.06,6.0,58.0,72.0,0.5538,0.5385,0.0923,2:15:02,,nt8,
2026-07-22,DEMO7298826,MNQ 09-26,short,1,2026-07-22 04:15:00,2026-07-22 16:50:01,29067.25,29190.75,-247.0,0,-123.5,-494.0,550.5,212.0,0.278,0.398,-0.3239,12:35:00,,nt8,
2026-07-22,DEMO7298826,M2K 09-26,short,4,2026-07-22 09:15:01,2026-07-22 16:50:02,2984.5,2972.2,246.0,0,12.3,123.0,240.0,380.0,0.6129,0.7839,0.3968,7:35:00,,nt8,
2026-07-22,DEMO7298826,MYM 09-26,short,8,2026-07-21 23:50:04,2026-07-22 16:50:02,52413.0,52505.0,-368.0,0,-92.0,-92.0,1232.0,604.0,0.329,0.4706,-0.2004,16:59:57,,nt8,
2026-07-23,DEMO7298826,M2K 09-26,short,5,2026-07-22 18:20:05,2026-07-23 06:35:15,2968.2,2969.1,-22.5,0,-0.9,-9.0,265.0,282.5,0.516,0.4429,-0.0411,12:15:10,,nt8,
2026-07-23,DEMO7298826,M2K 09-26,long,5,2026-07-23 06:35:15,2026-07-23 13:35:01,2969.0,2943.0,-650.0,0,-26.0,-260.0,925.0,82.5,0.0819,0.273,-0.6452,6:59:45,,nt8,
2026-07-23,DEMO7298826,M2K 09-26,short,3,2026-07-23 13:35:01,2026-07-23 16:50:02,2943.0,2949.9,-103.5,0,-6.9,-69.0,156.0,66.0,0.2973,0.2365,-0.4662,3:15:00,,nt8,
2026-07-23,DEMO7298826,MYM 09-26,short,3,2026-07-22 18:05:01,2026-07-23 16:50:31,52401.0,51893.0,762.0,0,508.0,508.0,168.0,1005.0,0.8568,0.7928,0.6496,22:45:30,,nt8,
2026-07-24,DEMO7298826,M2K 09-26,short,7,2026-07-24 02:15:00,2026-07-24 08:05:06,2945.8,2963.3,-612.5,0,-17.5,-175.0,829.5,38.5,0.0444,0.25,-0.7056,5:50:05,,nt8,
2026-07-24,DEMO7298826,MNQ 09-26,short,1,2026-07-23 21:30:01,2026-07-24 08:10:01,28655.5,28673.5,-36.0,0,-18.0,-72.0,100.5,378.5,0.7902,0.1347,-0.0752,10:40:00,,nt8,
2026-07-24,DEMO7298826,MNQ 09-26,long,1,2026-07-24 08:10:02,2026-07-24 12:55:00,28673.0,28473.0,-400.0,0,-200.0,-800.0,837.5,44.5,0.0505,0.496,-0.4535,4:44:58,,nt8,
2026-07-24,DEMO7298826,M2K 09-26,long,4,2026-07-24 08:05:06,2026-07-24 16:50:00,2963.2,2943.4,-396.0,0,-19.8,-198.0,574.0,126.0,0.18,0.2543,-0.5657,8:44:54,,nt8,
2026-07-24,DEMO7298826,MNQ 09-26,short,1,2026-07-24 12:55:01,2026-07-24 16:50:00,28472.25,28297.25,350.0,0,175.0,700.0,144.0,519.5,0.783,0.7445,0.5275,3:54:59,,nt8,
2026-07-24,DEMO7298826,MCL 09-26,short,1,2026-07-24 08:05:03,2026-07-24 16:50:01,89.64,90.54,-90.0,0,-0.9,-90.0,95.0,195.0,0.6724,0.0172,-0.3103,8:44:57,,nt8,
2026-07-27,DEMO7298826,MCL 09-26,short,2,2026-07-27 12:30:03,2026-07-27 16:50:02,83.03,81.99,208.0,0,1.04,104.0,46.0,274.0,0.8562,0.7938,0.65,4:19:59,,nt8,
2026-07-27,DEMO7298826,MYM 09-26,long,4,2026-07-27 04:20:06,2026-07-27 16:50:03,52571.0,52402.0,-338.0,0,-169.0,-169.0,796.0,440.0,0.356,0.3706,-0.2735,12:29:56,,nt8,
2026-07-28,DEMO7298826,MNQ 09-26,short,1,2026-07-27 23:30:01,2026-07-28 15:05:01,27986.25,28015.25,-58.0,0,-29.0,-116.0,187.0,766.0,0.8038,0.1354,-0.0609,15:34:59,,nt8,
2026-07-28,DEMO7298826,MNQ 09-26,long,1,2026-07-28 15:05:01,2026-07-28 16:50:00,28015.0,27954.25,-121.5,0,-60.75,-243.0,262.0,18.0,0.0643,0.5018,-0.4339,1:44:59,,nt8,
2026-07-28,DEMO7298826,M2K 09-26,short,5,2026-07-27 23:30:10,2026-07-28 16:50:02,2949.3,2964.8,-387.5,0,-15.5,-155.0,475.0,400.0,0.4571,0.1,-0.4429,17:19:51,,nt8,
2026-07-29,DEMO7298826,MNQ 09-26,long,1,2026-07-29 04:50:01,2026-07-29 16:50:01,27931.75,27273.25,-1317.0,0,-658.5,-2634.0,1463.5,336.0,0.1867,0.0814,-0.7319,11:59:59,,nt8,
2026-07-29,DEMO7298826,MYM 09-26,long,1,2026-07-29 14:40:06,2026-07-29 16:50:03,52209.0,51728.0,-240.5,0,-481.0,-481.0,289.5,109.5,0.2744,0.1228,-0.6028,2:09:57,,nt8,
2026-07-29,DEMO7298826,MCL 09-26,short,2,2026-07-29 04:00:00,2026-07-29 16:50:06,82.03,84.69,-532.0,0,-2.66,-266.0,710.0,106.0,0.1299,0.2181,-0.652,12:50:05,,nt8,
2026-07-30,DEMO7298826,MYM 09-26,long,5,2026-07-30 00:35:02,2026-07-30 16:50:04,51856.0,52444.0,1470.0,0,588.0,588.0,305.0,1575.0,0.8378,0.9441,0.7819,16:15:01,,nt8,
2026-07-30,DEMO7298826,MCL 09-26,short,2,2026-07-30 13:45:13,2026-07-30 16:50:04,83.91,83.94,-6.0,0,-0.03,-3.0,78.0,92.0,0.5412,0.4235,-0.0353,3:04:51,,nt8,
2026-07-30,DEMO7298826,M2K 09-26,long,2,2026-07-30 10:40:06,2026-07-30 16:50:12,2939.5,2957.5,180.0,0,18.0,180.0,216.0,185.0,0.4613,0.9875,0.4489,6:10:06,,nt8,
2026-07-31,DEMO7298826,MNQ 09-26,long,1,2026-07-31 06:55:01,2026-07-31 09:50:01,28579.75,28358.0,-443.5,0,-221.75,-887.0,520.0,292.0,0.3596,0.0942,-0.5462,2:55:00,,nt8,
2026-07-31,DEMO7298826,MYM 09-26,long,6,2026-07-30 23:55:14,2026-07-31 16:50:01,52575.0,52631.0,168.0,0,56.0,56.0,1359.0,591.0,0.3031,0.7831,0.0862,16:54:46,,nt8,
2026-07-31,DEMO7298826,M2K 09-26,long,7,2026-07-30 23:55:07,2026-07-31 16:50:01,2965.5,2937.3,-987.0,0,-28.2,-282.0,2117.5,367.5,0.1479,0.4549,-0.3972,16:54:54,,nt8,
2026-07-31,DEMO7298826,MNQ 09-26,short,1,2026-07-31 09:50:02,2026-07-31 16:50:02,28360.25,28381.75,-43.0,0,-21.5,-86.0,328.5,561.0,0.6307,0.321,-0.0483,6:59:59,,nt8,
2026-07-31,DEMO7298826,MCL 09-26,short,2,2026-07-31 14:10:05,2026-07-31 16:50:02,84.77,84.58,38.0,0,0.19,19.0,76.0,66.0,0.4648,0.8028,0.2676,2:39:56,,nt8,
